,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm ,, Jul ,, Aug ,, Sep ,, Oct ,, Nov ,, Dec ,, Jan ,, Feb ,, Mar ,, Apr ,, May ,, Jun ,, J , A , S , O , N , D , J , F , M , A , M , J 
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,,04, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category C,,02, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category B,FB.58368,04, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category D,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market F,Plant E,Category B,,01, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category D,A.04416,02, -   ,," 1,000 ",," 1,000 ",, 981 ,, 981 ,, 983 ,, 983 ,, 997 ,," 1,025 ",, 826 ,, 914 ,, 909 ,,909,1018.674,,97.737,54.624,,0.031,124.955,18.056,189.713,0,365.894,4.894,162.77
2023-07,Market F,Plant E,Category C,A.03674,02," 7,800 ",," 7,500 ",," 7,500 ",," 7,500 ",," 3,500 ",," 3,515 ",," 3,515 ",," 2,026 ",," 2,178 ",," 1,876 ",," 1,837 ",," 1,728 ",,1728,1834.694,10.409,20.852,601.056,10.637,166.226,180.931,92.8,0,570.822,180.961,,
2023-07,Market F,Plant E,Category D,A.03676,01, -   ,, -   ,, -   ,, -   ,, -   ,, 27 ,, 27 ,, 27 ,, 27 ,, 27 ,, 27 ,, 27 ,,27,27.218,,,,,,27.218,,,,,,
2023-07,Market F,Plant E,Category B,B.08011,03, 116 ,, 116 ,, 116 ,, 116 ,, 116 ,, 162 ,, 162 ,, 164 ,, 169 ,, 169 ,, 137 ,, 137 ,,137,0,,,,,,,,,,,,
2024-01,Market F,Plant E,Category F,A.04374,03,,,,,,,,,,,,,,, 471 ,, 422 ,, 413 ,, 391 ,, 381 ,,381,444.471,0,52.148,25.899,0,6.328,5.154,0,24.278,0.218,0,0,330.446
2023-07,Market F,Plant E,Category F,A.04124,03," 1,215 ",," 1,215 ",," 1,200 ",," 1,200 ",," 1,200 ",," 1,255 ",," 1,255 ",," 1,278 ",," 1,241 ",," 1,369 ",," 1,334 ",," 1,329 ",,1329,1399.301,120.174,66.428,97.036,233.382,59.878,124.643,21.724,16.486,433.461,158.531,67.558,0
2023-07,Market F,Plant E,Category D,A.04195,02," 16,830 ",," 1,500 ",," 1,494 ",," 1,494 ",," 1,494 ",," 1,711 ",," 1,711 ",," 1,068 ",," 1,237 ",," 1,787 ",," 1,648 ",," 1,648 ",,1648,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category C,A.03947,04, 89 ,, 89 ,, 89 ,, 105 ,, 105 ,, 101 ,, 139 ,, 142 ,, 147 ,, 128 ,, 128 ,, 120 ,,120,147.196,0,0.422,0,0,0,0,21.833,0,0,19.325,0,105.616
2024-05,Market F,Plant E,Category B,A.04671,01,,,,,,,,,,,,,,,,,,,,,,, 50 ,,50,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category B,A.04366,01, 540 ,, 500 ,, 550 ,, 552 ,, 552 ,, 543 ,, 643 ,, 685 ,, 689 ,, 794 ,, 781 ,, 780 ,,780,886.206,26.749,117.562,13.492,26.586,7.429,386.756,49.533,10.312,271.631,-109.676,85.832,
2023-07,Market F,Plant E,Category D,A.04333,02, 792 ,, 792 ,, 792 ,, 799 ,, 799 ,, 346 ,, 494 ,, 499 ,, 510 ,, 407 ,, 392 ,, 392 ,,392,0,,,,,,,,,,,,
,Market F,Plant E,Category C,GRA,01,,,,,,,,,,,,,,,,,,,,,,, (19),,-19,0,,,,,,,,,,,,
2023-07,Market F,Plant E,Category C,A.03674,02,,,,,,,,,,, (109),, -   ,, -   ,, (112),, (112),, (109),, -   ,,0,-51.831,,,,,,,,,-51.831,,,
2023-11,Market E,Plant D,Category F,B.08524,03, 895 ,, 895 ,, 976 ,, 976 ,, 976 ,, 976 ,, 976 ,, 380 ,, 380 ,, 290 ,, 228 ,, 252 ,,252,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.56581,04, 252 ,, 252 ,, 252 ,, 252 ,, 252 ,, 252 ,, 252 ,, 252 ,, 252 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84884,01, 400 ,, 400 ,, 400 ,, 400 ,, 400 ,, 400 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.32831,01, 250 ,, 250 ,, 250 ,, 250 ,, 250 ,, 250 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.58395,04,,,,,,,,,,,,, 300 ,, 300 ,, 349 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.47543,01, 315 ,, 315 ,, 315 ,, 315 ,, 315 ,, 315 ,, 108 ,, 108 ,, 108 ,, 128 ,, 161 ,, 161 ,,161,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.58398,04,,, 200 ,, 200 ,, 200 ,, 200 ,, 200 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.16642,04, 150 ,, 150 ,, 150 ,, 150 ,, 150 ,, 150 ,, 150 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category F,B.08491,04, 194 ,, 194 ,, 194 ,, 194 ,, 194 ,, 194 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.87950,04, 234 ,, 198 ,, 198 ,, 198 ,, 198 ,, 110 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,A.03718,02,,, 50 ,, 43 ,, 43 ,, 43 ,, 43 ,, 43 ,, 43 ,, 43 ,, 43 ,, 43 ,, 43 ,,43,0,,,,,,,,,,,,
2023-07,Market E,Plant B,Category C,A.04295,02," 1,800 ",," 1,229 ",, 900 ,," 1,312 ",," 1,323 ",," 1,323 ",," 1,353 ",," 1,353 ",," 1,392 ",," 1,170 ",," 1,170 ",," 1,267 ",,1267,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58395,04, 150 ,, -   ,, -   ,, 150 ,, 150 ,, 150 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.77614,01, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.36515,01, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, 100 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-11,Market E,Plant D,Category F,B.08526,04, 499 ,, 499 ,, 651 ,, 651 ,, 651 ,, 651 ,, 651 ,, 517 ,, 517 ,, 480 ,, 467 ,, 496 ,,496,0,,,,,,,,,,,,
2023-07,Market E,Plant A,Category B,A.04283,04, 81 ,, 58 ,, 58 ,, 58 ,, 38 ,, 38 ,, 34 ,, 35 ,, 35 ,, 35 ,, 35 ,, 35 ,,35,0,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.25090,01, 125 ,, 125 ,, 125 ,, 125 ,, 125 ,, 125 ,, 125 ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.57242,03,,, 50 ,, 50 ,, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-12,Market E,Plant B,Category F,B.08479,04, 600 ,, 600 ,, 600 ,, 600 ,, 600 ,, 600 ,, 225 ,, 123 ,, 175 ,, 30 ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.26846,01, 50 ,, 50 ,, 50 ,, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.31000,01, -   ,, 50 ,, 50 ,, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
,Market E,Plant D,Category C,FB.36509,01, -   ,, 50 ,, 50 ,, 50 ,, 50 ,, 50 ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0,0,,,,,,,,,,,,
2023-08,Market E,Plant A,Category C,B.08493,01,,,,,,,,, 100 ,, 150 ,, 180 ,, 180 ,, 180 ,, 115 ,, 115 ,, 136 ,,136,0,,,,,,,,,,,,
2023-10,Market E,Plant B,Category F,B.07564,03,,,,,,,,, 36 ,, 36 ,, -   ,, -   ,, -   ,, 59 ,, 59 ,, 59 ,,59,0,,,,,,,,,,,,
